median_p4 median_p5 median_p6 satellite time_mjd
0.0177 0.0148 0.00495 13 57536.999222407
0.0177 0.014499999999999999 0.00495 13 57537.999222407
0.0184 0.0149 0.00498 13 57538.999222407
0.01875 0.0149 0.00505 13 57539.999222407
0.01875 0.0153 0.00508 13 57540.999222407
0.0191 0.0157 0.00515 13 57541.999222407
0.0191 0.0154 0.00522 13 57542.999222407
0.0197 0.0157 0.00515 13 57543.999222407
0.0184 0.0151 0.00512 13 57544.999222407
0.0184 0.0151 0.0051649999999999995 13 57545.999222407
0.0191 0.0153 0.00515 13 57546.999222407
0.0191 0.0157 0.00518 13 57547.999222407
0.0191 0.0157 0.00525 13 57548.999222407
0.0191 0.0157 0.00522 13 57549.999222407
0.0191 0.0157 0.00525 13 57550.999222407
0.0191 0.0154 0.00515 13 57551.999222407
0.0184 0.0148 0.00498 13 57552.999222407
0.0177 0.0148 0.00495 13 57553.999222407
0.0177 0.0144 0.00488 13 57554.999222407
0.0177 0.0146 0.00484 13 57555.999222407
0.0177 0.0146 0.00478 13 57556.999222407
0.0177 0.0144 0.00484 13 57557.999222407
0.0184 0.0148 0.00488 13 57558.999222407
0.0184 0.0149 0.00498 13 57559.999222407
0.0184 0.0149 0.00501 13 57560.999222407
0.0177 0.0148 0.00495 13 57561.999222407
0.0177 0.0144 0.00491 13 57562.999222407
0.01805 0.0148 0.00491 13 57563.999222407
0.0184 0.0149 0.00491 13 57564.999222407
0.0184 0.0148 0.00495 13 57565.999222407
0.0177 0.0151 0.00501 13 57566.999222407
0.0184 0.0149 0.00501 13 57567.999222407
0.0184 0.0152 0.0051 13 57568.999222407
0.0191 0.0151 0.0051 13 57569.999222407
0.0184 0.0153 0.0051649999999999995 13 57570.999222407
0.0191 0.0155 0.00515 13 57571.999222407
0.0184 0.0157 0.00522 13 57572.999222407
0.0191 0.0157 0.00522 13 57573.999222407
0.0197 0.0159 0.00525 13 57574.999222407
0.0197 0.0159 0.00532 13 57575.999222407
0.0204 0.0155 0.00522 13 57576.999222407
0.0191 0.0153 0.00518 13 57577.999222407
0.0184 0.0149 0.00505 13 57578.999222407
0.0177 0.0151 0.00495 13 57579.999222407
0.0177 0.0146 0.004895 13 57580.999222407
0.0177 0.014499999999999999 0.00481 13 57581.999222407
0.0184 0.0144 0.00478 13 57582.999222407
0.0177 0.0144 0.00474 13 57583.999222407
0.0171 0.0144 0.00474 13 57584.999222407
0.0184 0.0146 0.00488 13 57585.999222407
0.0184 0.0148 0.004895 13 57586.999222407
0.0177 0.0148 0.00495 13 57587.999222407
0.0177 0.0142 0.00481 13 57588.999222407
0.0171 0.0144 0.00481 13 57589.999222407
0.0177 0.0148 0.00488 13 57590.999222407
0.0204 0.0148 0.00501 13 57591.999222407
0.0184 0.0149 0.00501 13 57592.999222407
0.0177 0.0148 0.00495 13 57593.999222407
0.0191 0.0151 0.00503 13 57594.999222407
0.0184 0.0149 0.00505 13 57595.999222407
0.0184 0.0153 0.0051 13 57596.999222407
0.0191 0.0157 0.00508 13 57597.999222407
0.0191 0.0153 0.00522 13 57598.999222407
0.0191 0.0157 0.00525 13 57599.999222407
0.0197 0.0157 0.0053349999999999995 13 57600.999222407
0.0191 0.0161 0.00532 13 57601.999222407
0.0184 0.0153 0.00512 13 57602.999222407
0.0197 0.0155 0.00522 13 57603.999222407
0.0191 0.0159 0.00522 13 57604.999222407
0.0184 0.0153 0.00515 13 57605.999222407
0.0184 0.015 0.00501 13 57606.999222407
0.0184 0.015 0.00503 13 57607.999222407
0.0184 0.0149 0.00498 13 57608.999222407
0.0177 0.0148 0.00495 13 57609.999222407
0.0184 0.0148 0.00495 13 57610.999222407
0.0184 0.0148 0.00491 13 57611.999222407
