median_p4 median_p5 median_p6 satellite time_mjd
0.0191 0.0174 0.00525 15 57858.999222407
0.0197 0.0175 0.005265000000000001 15 57859.999222407
0.0191 0.0177 0.00525 15 57860.999222407
0.0191 0.0174 0.00522 15 57861.999222407
0.0191 0.017 0.0051649999999999995 15 57862.999222407
0.0197 0.0171 0.00505 15 57863.999222407
0.0191 0.0163 0.004965000000000001 15 57864.999222407
0.0177 0.0161 0.00481 15 57865.999222407
0.0177 0.0156 0.00478 15 57866.999222407
0.0171 0.0161 0.00481 15 57867.999222407
0.0177 0.0162 0.00484 15 57868.999222407
0.0171 0.0162 0.00481 15 57869.999222407
0.0177 0.0161 0.00488 15 57870.999222407
0.0171 0.0165 0.00491 15 57871.999222407
0.0177 0.0169 0.00498 15 57872.999222407
0.0177 0.0165 0.00505 15 57873.999222407
0.0177 0.0165 0.00491 15 57874.999222407
0.0174 0.0167 0.00501 15 57875.999222407
0.0177 0.0171 0.00498 15 57876.999222407
0.0177 0.0169 0.00493 15 57877.999222407
0.0184 0.0169 0.00503 15 57878.999222407
0.0174 0.016399999999999998 0.00508 15 57879.999222407
0.0177 0.0167 0.0049949999999999994 15 57880.999222407
0.0177 0.0171 0.00503 15 57881.999222407
0.01805 0.0171 0.00501 15 57882.999222407
0.0177 0.0171 0.005065 15 57883.999222407
0.0184 0.0175 0.00515 15 57884.999222407
0.0191 0.0175 0.00518 15 57885.999222407
0.0184 0.0175 0.00522 15 57886.999222407
0.0177 0.0173 0.00518 15 57887.999222407
0.0184 0.0173 0.00508 15 57888.999222407
0.0177 0.0169 0.00505 15 57889.999222407
0.0177 0.0171 0.00512 15 57890.999222407
0.0184 0.0169 0.00508 15 57891.999222407
0.0177 0.0169 0.00498 15 57892.999222407
0.0177 0.0169 0.00505 15 57893.999222407
0.0177 0.0167 0.00512 15 57894.999222407
0.0184 0.0169 0.00508 15 57895.999222407
0.0177 0.0167 0.005065 15 57896.999222407
0.0177 0.0171 0.00505 15 57897.999222407
0.0177 0.0173 0.00508 15 57898.999222407
0.0177 0.0171 0.00508 15 57899.999222407
0.0164 0.0163 0.00488 15 57900.999222407
0.0171 0.0165 0.00495 15 57901.999222407
0.021 0.0172 0.00572 13 57902.999222407
0.021 0.0173 0.00572 13 57903.999222407
0.0217 0.0175 0.00579 13 57904.999222407
0.021 0.0175 0.00583 13 57905.999222407
0.0217 0.0175 0.00587 13 57906.999222407
0.0217 0.0173 0.00579 13 57907.999222407
0.0217 0.0176 0.00583 13 57908.999222407
0.021 0.0177 0.00586 13 57909.999222407
0.021 0.0179 0.00593 13 57910.999222407
0.0217 0.0181 0.00596 13 57911.999222407
0.021 0.0178 0.00593 13 57912.999222407
0.0217 0.0179 0.00596 13 57913.999222407
0.0217 0.0179 0.0060149999999999995 13 57914.999222407
0.0223 0.0181 0.00606 13 57915.999222407
0.0217 0.0177 0.00603 13 57916.999222407
0.0217 0.0179 0.006 13 57917.999222407
0.0217 0.0185 0.00606 13 57918.999222407
0.0217 0.0177 0.00606 13 57919.999222407
0.0217 0.0179 0.00589 13 57920.999222407
0.0217 0.0175 0.00583 13 57921.999222407
0.0217 0.0179 0.00596 13 57922.999222407
0.0217 0.0179 0.006 13 57923.999222407
0.0217 0.0177 0.00598 13 57924.999222407
0.0223 0.0181 0.00603 13 57925.999222407
-100000.0 -100000.0 -100000.0 15 57926.999222407
0.0177 0.0173 0.00512 15 57927.999222407
0.0177 0.0171 0.00508 15 57928.999222407
0.0171 0.0167 0.00503 15 57929.999222407
